tweet,date,likes,retweets
"Guns don't kill people, 2 yr.-olds in Idaho kill people. #GunFAIL #guncontrol http://nyti.ms/1BlmJY8","Dec 30, 2014",1,2
Lost in police shooting controversy- lack of #GunControl in US makes cops afraid & trigger happyhttp://m.huffpost.com/us/entry/2359049…,"Dec 24, 2014",2,3
Taking away guns won't stop people from killing. People find other ways. #jodiarias killed with a knife. #guncontrol  #truth,"Dec 21, 2014",3,1
"LIB> @msspi38  #LelandYee, CA #guncontrol advocate, arrested for illegal arms trafficking -- WITH ISLAMIC TERRORISTS https://pic.twitter.com/k8XxbpT0bz","Dec 30, 2014",1,5
One more reason not to shop at #Walmart. #accidentalshooting #guncontrol http://gu.com/p/44gb9/stw,"Dec 30, 2014",2,1
Must reading for all #guncontrol supporters who want to regulate firearms like cars: http://washingtonpost.com/news/volokh-conspiracy/wp/2014/12/23/why-not-regulate-guns-like-cars/…,"Dec 26, 2014",5,2
"@CNN Its not the gun, it's the person...right (sarcastic tone) #guncontrol","Dec 30, 2014",14,2
"Antigun groups use kids & death of police officers for #guncontrol that ""literally empowers criminals"" #2a #gunsense  http://breitbart.com/big-government/2014/12/23/washington-post-private-gun-ownership-makes-police-less-safe/…","Dec 24, 2014",4,2
#GunControl means keeping your aim steady!! @starrider22 @fox5newsdc,"Dec 17, 2014",2,1
@Jackthelad1947 : Can you imagine? The mom had the weapon in her purse!!!!! Grrrrrrr No #guncontrol  or #gunsense,"Dec 30, 2014",2,3
#ZEROTOLERANCE for any kid raising a hand at #school @BrianMora_USA @AmyMek #2A #tcot #guncontrol #handcontrol#gunsense #handsense,"Dec 29, 2014",2,1
""" @M0L0NL4BE #GUNCONTROL is not about protecting people from gun violence its about protecting government from armed & informed citizens #2A","Dec 27, 2014",2,1
@seanhannity 250 people will die via firearms in the next 3 days. Where's your worry for them as well?#guncontrol,"Dec 22, 2014",1,3
.@Jasonphilp  @wdmichael3 Oh bulldust! Human rights do NOT include the right to a gun #humanrights #guncontrol @narelleford @GaryFallon2,"Dec 18, 2014",1,3
